taille_grille	nombre_arbres	nombre_moulins	nombre_rochers	nom_joueur	score_joueur	classement_joueur	manilles_joueur	depart_joueur
28	200	52	0	Moumen	8620	2	108	3,5
28	200	52	0	Enzo	46	4	0	24,5
28	200	52	0	Amine	4604	3	0	3,22
28	200	52	0	Kemil	19204	1	0	24,22
28	220	44	0	Moumen	4078	3	414	7,7
28	220	44	0	Enzo	3645	4	266	20,7
28	220	44	0	Amine	6873	2	0	7,20
28	220	44	0	Kemil	13733	1	0	20,20
20	84	12	0	Moumen	2693	2	444	6,2
20	84	12	0	Enzo	1320	4	32	13,2
20	84	12	0	Amine	2914	1	0	6,17
20	84	12	0	Kemil	1882	3	0	13,17
24	160	28	0	Moumen	982	3	1842	11,7
24	160	28	0	Enzo	411	4	64	12,7
24	160	28	0	Amine	1848	2	0	11,16
24	160	28	0	Kemil	13716	1	0	12,16
22	140	32	0	Moumen	4598	2	463	7,7
22	140	32	0	Enzo	2979	4	248	14,7
22	140	32	0	Amine	4220	3	0	7,14
22	140	32	0	Kemil	9772	1	0	14,14
26	196	48	0	Moumen	21265	1	137	3,8
26	196	48	0	Enzo	6641	2	810	22,8
26	196	48	0	Amine	748	4	0	3,17
26	196	48	0	Kemil	1053	3	0	22,17
30	252	60	0	Moumen	421	3	1883	2,2
30	252	60	0	Enzo	68	4	4	27,2
30	252	60	0	Amine	2264	2	0	2,27
30	252	60	0	Kemil	4584	1	0	27,27
20	124	28	0	Moumen	5753	2	485	2,0
20	124	28	0	Enzo	2659	4	27	17,0
20	124	28	0	Amine	6175	1	0	2,19
20	124	28	0	Kemil	5276	3	0	17,19
24	156	32	0	Moumen	6458	2	737	5,3
24	156	32	0	Enzo	2789	4	5	18,3
24	156	32	0	Amine	8155	1	0	5,20
24	156	32	0	Kemil	5511	3	0	18,20
26	188	36	0	Moumen	7297	3	231	5,8
26	188	36	0	Enzo	3311	4	13	20,8
26	188	36	0	Amine	7513	2	0	5,17
26	188	36	0	Kemil	7527	1	0	20,17
26	172	40	0	Moumen	11432	2	170	4,3
26	172	40	0	Enzo	476	4	512	21,3
26	172	40	0	Amine	2261	3	0	4,22
26	172	40	0	Kemil	12706	1	0	21,22
28	232	56	0	Moumen	2766	3	708	7,12
28	232	56	0	Enzo	1145	4	7	20,12
28	232	56	0	Amine	13411	1	0	7,15
28	232	56	0	Kemil	5381	2	0	20,15
24	144	28	0	Moumen	9951	1	42	11,11
24	144	28	0	Enzo	386	4	886	12,11
24	144	28	0	Amine	427	3	0	11,12
24	144	28	0	Kemil	9606	2	0	12,12
22	116	28	0	Moumen	1371	3	825	6,5
22	116	28	0	Enzo	59	4	5	15,5
22	116	28	0	Amine	6832	2	0	6,16
22	116	28	0	Kemil	7062	1	0	15,16
20	96	24	0	Moumen	6209	1	246	9,6
20	96	24	0	Enzo	2464	3	388	10,6
20	96	24	0	Amine	2431	4	0	9,13
20	96	24	0	Kemil	4772	2	0	10,13
20	92	24	0	Moumen	1181	3	708	0,6
20	92	24	0	Enzo	361	4	0	19,6
20	92	24	0	Amine	5389	2	0	0,13
20	92	24	0	Kemil	9602	1	0	19,13
28	204	48	0	Moumen	11119	1	435	13,1
28	204	48	0	Enzo	3655	4	164	14,1
28	204	48	0	Amine	4448	3	0	13,26
28	204	48	0	Kemil	8433	2	0	14,26
22	108	28	0	Moumen	2689	2	668	3,7
22	108	28	0	Enzo	342	4	272	18,7
22	108	28	0	Amine	741	3	0	3,14
22	108	28	0	Kemil	13981	1	0	18,14
26	208	52	0	Moumen	276	3	898	4,6
26	208	52	0	Enzo	90	4	0	21,6
26	208	52	0	Amine	5240	1	0	4,19
26	208	52	0	Kemil	4370	2	0	21,19
24	164	28	0	Moumen	5460	2	1110	7,1
24	164	28	0	Enzo	1135	4	37	16,1
24	164	28	0	Amine	2439	3	0	7,22
24	164	28	0	Kemil	8334	1	0	16,22
22	140	36	0	Moumen	18758	1	699	4,6
22	140	36	0	Enzo	1322	4	730	17,6
22	140	36	0	Amine	2372	2	0	4,15
22	140	36	0	Kemil	1554	3	0	17,15
24	144	28	0	Moumen	8162	1	35	3,4
24	144	28	0	Enzo	594	4	750	20,4
24	144	28	0	Amine	2851	3	0	3,19
24	144	28	0	Kemil	7896	2	0	20,19
